Gene Set	Score	0.95 MoE	P-Value	FDR
KRAS.Lung_SALE.36_DN	-0.2853117596702657			
ETV1.24_DN	-0.2895210091636106			
KRAS.36_DN	-0.29157775205473746			
KRAS.Lung_SALE_Skin_PMEL.36_DN	-0.29157775205473746			
KRAS.24_UP	-0.2934492300042827			
AKT1.Skin_PMEL_DN	-0.2938412884756335			
KRAS.Breast_HMLE_Skin_PMEL_DN	-0.29553526626737125			
PIK3CA_UP	-0.2966953412904493			
MEKdd.Breast_HMLE_Lung_SALE.Weeks_DN	-0.2979305297716262			
YAP_UP	-0.3015530866470092			
AKT1.Weeks_UP	-0.3062447517624851			
BRAF.Skin_PMEL.Weeks_DN	-0.3150210743239754			
ETV1.Weeks_UP	-0.3169078013966209			
YAP.mt.Breast_HMLE_Skin_PMEL.24_DN	-0.319169002597062			
MEKdd.Breast_HMLE_Skin_PMEL.Weeks_UP	-0.32121333981184735			
MEKdd.Breast_HMLE.Weeks_UP	-0.32121333981184735			
YAP.mt.Lung_SALE_Skin_PMEL_UP	-0.3220553245347147			
PIK3CA_DN	-0.32266360372754926			
YAP.mt.24_DN	-0.32721326373352444			
KRAS.Breast_HMLE_DN	-0.33065480216711274			
KRAS.Lung_SALE_UP	-0.3311857182327594			
MEKdd.Lung_SALE.Weeks_UP	-0.33854907669282536			
MEKdd.Lung_SALE_Skin_PMEL.Weeks_UP	-0.33854907669282536			
MEKdd.Breast_HMLE_Lung_SALE.Weeks_UP	-0.3386484284351828			
MEKdd.Weeks_UP	-0.3386484284351828			
BRAF_DN	-0.3491873009893622			
AKT1.Lung_SALE_Skin_PMEL.Weeks_UP	-0.3492388290688904			
PIK3CA.Lung_SALE_DN	-0.3511805126186465			
AKT1.Weeks_DN	-0.3526834401334981			
YAP.mt.Lung_SALE_Skin_PMEL_DN	-0.35616598159375973			
BRAF.Breast_HMLE.24_DN	-0.3616873172162997			
AKT1.Lung_SALE_Skin_PMEL.Weeks_DN	-0.36265280238924963			
PIK3CA.Skin_PMEL.Weeks_UP	-0.3662476998595428			
YAP.mt.Breast_HMLE_Skin_PMEL_UP	-0.3696858879882976			
YAP.Breast_HMLE_Lung_SALE_UP	-0.3708322822686972			
BRAF.Breast_HMLE_Skin_PMEL.Weeks_UP	-0.37257969795917967			
ETV1.Lung_SALE_Skin_PMEL.Weeks_UP	-0.3789165820997876			
PIK3CA.Breast_HMLE_Skin_PMEL.Weeks_DN	-0.38387671743388013			
YAP.mt.Breast_HMLE_Skin_PMEL_DN	-0.3883168019682169			
KRAS.Lung_SALE_Skin_PMEL.24_UP	-0.3897375678032379			
ETV1_UP	-0.3976646125938063			
KRAS.24_DN	-0.3999544918189863			
ETV1_DN	-0.4042653168129897			
YAP.Breast_HMLE_DN	-0.4049146989024129			
AKT1.Breast_HMLE.24_DN	-0.41230955787528484			
ETV1.Lung_SALE_UP	-0.41344164750232276			
KRAS.Lung_SALE.36_UP	-0.41535412476804834			
YAP.Breast_HMLE_Lung_SALE.24_DN	-0.41599770786175716			
PIK3CA.Lung_SALE.24_UP	-0.41778093907317904			
PIK3CA.Lung_SALE_Skin_PMEL.Weeks_UP	-0.42008934632341016			
ETV1.Breast_HMLE.Weeks_UP	-0.42042082080826043			
AKT1.Breast_HMLE_Skin_PMEL.Weeks_UP	-0.42244516449935066			
KRAS.Lung_SAEC.24_UP	-0.42352594576126895			
KRAS.Lung_SAEC_UP	-0.42352594576126895			
AKT1.Skin_PMEL.Weeks_UP	-0.4284635563831131			
YAP.24_UP	-0.4512604601248286			
BRAF.Breast_HMLE_Skin_PMEL.24_UP	-0.4514056693454056			
YAP.Breast_HMLE_UP	-0.45290023190959583			
BRAF.Breast_HMLE_UP	-0.4619279606648062			
AKT1.Lung_SALE_Skin_PMEL_UP	-0.46388555203199094			
YAP.Breast_HMLE_Skin_PMEL_DN	-0.4733378401759446			
YAP.mt.Breast_HMLE_Lung_SALE.24_UP	-0.47481694409795216			
KRAS.Breast_HMLE_Lung_SALE.24_DN	-0.47656833665034937			
ETV1.24_UP	-0.49865317843486934			
KRAS.Weeks_UP	-0.5006226434918963			
ETV1.Lung_SALE_Skin_PMEL.Weeks_DN	-0.5012249157013389			
KRAS.Lung_SALE_Skin_PMEL.36_UP	-0.5080548657851403			
MEKdd.Weeks_DN	-0.5084552478288943			
KRAS.36_UP	-0.5098060353540058			
KRAS.Breast_HMLE_Skin_PMEL.24_DN	-0.5164694709122734			
PIK3CA.Skin_PMEL.Weeks_DN	-0.5249314818508217			
MEKdd.Lung_SALE_Skin_PMEL_DN	-0.5305687895182855			
ETV1.Breast_HMLE_Skin_PMEL.24_DN	-0.5319897247352326			
MEKdd.Lung_SALE_Skin_PMEL.24_DN	-0.5349552504998437			
ETV1.Lung_SALE_Skin_PMEL.24_UP	-0.5375083297599037			
ETV1.Breast_HMLE_Skin_PMEL.Weeks_DN	-0.5394521740200843			
YAP.Breast_HMLE_Skin_PMEL.24_DN	-0.5410134845134519			
AKT1.Breast_HMLE_DN	-0.5416277742540005			
KRAS.Lung_SALE_Skin_PMEL.Weeks_UP	-0.54849474950458			
PIK3CA.Breast_HMLE_Skin_PMEL_UP	-0.5486605673555948			
AKT1.Skin_PMEL_UP	-0.561378532802055			
KRAS.Breast_HMLE_Lung_SALE.36_UP	-0.563996527090572			
KRAS.Breast_HMLE_Lung_SALE.Weeks_UP	-0.5641432369483967			
