Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_HIST1H4D_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4C_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_SIM2_DN	0.6297024477018353	0.18128396252172255	0.059015025041736224	0.9891608391608392
IPA_E2F7_DN	0.6270510135120254	0.16776170245386687	0.05984974958263773	0.9891608391608392
IPA_MLXIP_DN	0.6268863022057677	0.17284613971913887	0.05993322203672788	0.9891608391608392
IPA_SATB1_UP	0.6243575645337357	0.25154500832878973	0.06093489148580968	0.9891608391608392
IPA_ETS2_UP	0.6237759920103749	0.24837450008793474	0.061185308848080135	0.9891608391608392
IPA_DOT1L_DN	0.6221815253134759		0.061519198664440736	0.9891608391608392
IPA_FEV_UP	0.6212990531659917	0.17196774901544462	0.062270450751252086	0.9891608391608392
IPA_EGR3_DN	0.6196594829838069	0.2696621935229815	0.06302170283806344	0.9891608391608392
IPA_ZNF148_DN	0.6098921266756314	0.2811902989784947	0.0666110183639399	0.9891608391608392
IPA_HIST1H1T_DN	0.6092860484157003	0.1703317347640045	0.0667779632721202	0.9891608391608392
IPA_NEUROG2_DN	0.6036985572077329	0.23409582560175918	0.06836393989983305	0.9891608391608392
IPA_HEYL_UP	0.5960274129758062	0.16510885025987398	0.07103505843071786	0.9891608391608392
IPA_MNT_DN	0.5954243159956917	0.17083288365262767	0.07128547579298831	0.9891608391608392
IPA_PRDM8_DN	0.5940484688080471	0.28162779633846674	0.07161936560934891	0.9891608391608392
IPA_SRCAP_UP	0.5934106408322445	0.20026900161597747	0.07178631051752922	0.9891608391608392
IPA_IRX4_DN	0.5924513588819819	0.18309782705208705	0.07220367278797997	0.9891608391608392
IPA_BACH2_UP	0.586375742051679	0.19402283714189636	0.07487479131886478	0.9891608391608392
IPA_ZNF33A_DN	0.5779595164659915	0.24999294297682625	0.07854757929883138	0.9891608391608392
IPA_CDK7_UP	0.5733243590785552	0.17807322204254217	0.0802170283806344	0.9891608391608392
